❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 16)
W2 형태: (16, 10)
[223/300] loss=1.7201 | train=71.47% | test=70.00%
[224/300] loss=1.7151 | train=71.54% | test=70.00%
[225/300] loss=1.7101 | train=71.61% | test=70.28%
[226/300] loss=1.7052 | train=71.89% | test=70.28%
[227/300] loss=1.7002 | train=71.96% | test=70.56%
[228/300] loss=1.6953 | train=72.03% | test=70.56%
[229/300] loss=1.6903 | train=72.09% | test=70.83%
[230/300] loss=1.6853 | train=72.16% | test=71.11%
[231/300] loss=1.6804 | train=72.30% | test=71.11%
[232/300] loss=1.6754 | train=72.23% | test=71.11%
[233/300] loss=1.6705 | train=72.37% | test=71.11%
[234/300] loss=1.6656 | train=72.58% | test=71.39%
[235/300] loss=1.6606 | train=72.58% | test=71.67%
[236/300] loss=1.6557 | train=72.65% | test=71.67%
[237/300] loss=1.6508 | train=72.72% | test=71.67%
[238/300] loss=1.6458 | train=72.79% | test=71.67%
[239/300] loss=1.6409 | train=73.00% | test=71.67%
[240/300] loss=1.6360 | train=73.07% | test=71.67%
[241/300] loss=1.6311 | train=73.21% | test=71.67%
[242/300] loss=1.6262 | train=73.28% | test=72.22%
[243/300] loss=1.6213 | train=73.35% | test=72.22%
[244/300] loss=1.6164 | train=73.49% | test=72.22%
[245/300] loss=1.6115 | train=73.56% | test=72.22%
[246/300] loss=1.6067 | train=73.70% | test=72.50%
[247/300] loss=1.6018 | train=73.76% | test=72.50%
[248/300] loss=1.5969 | train=73.76% | test=72.50%
[249/300] loss=1.5921 | train=73.90% | test=72.50%
[250/300] loss=1.5873 | train=74.11% | test=72.50%
[251/300] loss=1.5824 | train=74.25% | test=72.78%
[252/300] loss=1.5776 | train=74.39% | test=72.78%
[253/300] loss=1.5728 | train=74.46% | test=72.78%
[254/300] loss=1.5680 | train=74.53% | test=72.78%
[255/300] loss=1.5632 | train=74.60% | test=72.78%
[256/300] loss=1.5584 | train=74.81% | test=72.78%
[257/300] loss=1.5536 | train=74.88% | test=73.06%
[258/300] loss=1.5488 | train=74.88% | test=73.06%
[259/300] loss=1.5441 | train=75.09% | test=73.06%
[260/300] loss=1.5393 | train=75.16% | test=73.06%
[261/300] loss=1.5346 | train=75.23% | test=73.06%
[262/300] loss=1.5299 | train=75.43% | test=73.06%
[263/300] loss=1.5252 | train=75.64% | test=73.06%
[264/300] loss=1.5205 | train=75.71% | test=73.06%
[265/300] loss=1.5158 | train=76.06% | test=73.61%
[266/300] loss=1.5111 | train=76.34% | test=73.61%
[267/300] loss=1.5064 | train=76.34% | test=73.61%
[268/300] loss=1.5018 | train=76.34% | test=73.61%
[269/300] loss=1.4971 | train=76.41% | test=74.17%
[270/300] loss=1.4925 | train=76.48% | test=74.44%
[271/300] loss=1.4878 | train=76.62% | test=74.44%
[272/300] loss=1.4832 | train=76.62% | test=74.44%
[273/300] loss=1.4786 | train=76.62% | test=74.44%
[274/300] loss=1.4740 | train=76.83% | test=74.44%
[275/300] loss=1.4695 | train=76.97% | test=74.72%
[276/300] loss=1.4649 | train=77.04% | test=75.28%
[277/300] loss=1.4604 | train=77.04% | test=75.56%
[278/300] loss=1.4558 | train=77.17% | test=75.56%
[279/300] loss=1.4513 | train=77.24% | test=75.83%
[280/300] loss=1.4468 | train=77.17% | test=76.11%
[281/300] loss=1.4423 | train=77.17% | test=76.67%
[282/300] loss=1.4378 | train=77.17% | test=76.67%
[283/300] loss=1.4333 | train=77.17% | test=76.94%
[284/300] loss=1.4288 | train=77.17% | test=76.94%
[285/300] loss=1.4244 | train=77.38% | test=76.94%
[286/300] loss=1.4199 | train=77.38% | test=76.94%
[287/300] loss=1.4155 | train=77.45% | test=76.94%
[288/300] loss=1.4111 | train=77.59% | test=76.94%
[289/300] loss=1.4067 | train=77.59% | test=77.22%
[290/300] loss=1.4023 | train=77.66% | test=77.22%
[291/300] loss=1.3979 | train=77.73% | test=77.50%
[292/300] loss=1.3936 | train=77.80% | test=77.50%
[293/300] loss=1.3892 | train=77.80% | test=77.50%
[294/300] loss=1.3849 | train=77.94% | test=77.78%
[295/300] loss=1.3806 | train=78.01% | test=77.78%
[296/300] loss=1.3763 | train=78.01% | test=78.33%
[297/300] loss=1.3720 | train=78.01% | test=78.33%
[298/300] loss=1.3677 | train=78.08% | test=78.33%
[299/300] loss=1.3634 | train=78.08% | test=78.33%
[300/300] loss=1.3592 | train=78.22% | test=78.33%

 🌟 구현 후 다음을 확인하세요:
- 훈련 정확도: 90% 이상
- 테스트 정확도: 85% 이상
- 각 숫자별 예측 성능

최종 결과: train=78.22% | test=78.33%
클래스 0 정확도: 96.97%
클래스 1 정확도: 78.57%
클래스 2 정확도: 93.94%
클래스 3 정확도: 94.12%
클래스 4 정확도: 91.30%
클래스 5 정확도: 53.19%
클래스 6 정확도: 94.29%
클래스 7 정확도: 100.00%
클래스 8 정확도: 16.67%
클래스 9 정확도: 65.00%

다시 해보자ㅜㅜ~~~~
